,order,huc2,Q_decile,mu,sigma,mean,median
262,7.0,05,2,5.1390297765339135,0.57754726156685,200.7912670879472,168.28368881765508
263,7.0,05,3,5.172463641929377,0.5711265881941656,206.827429323872,176.16666666666666
264,7.0,05,4,5.174378656746564,0.5398173884832459,204.7076925261576,174.46153846153845
265,7.0,05,5,5.204883493708179,0.48494694689448287,205.16969020640897,177.3077998944422
266,7.0,05,6,5.217443682864848,0.5148701157465913,208.88695344491802,184.46007475365272
267,7.0,05,7,5.239902031994735,0.5109590342429244,214.05065488908065,185.4126494883492
268,7.0,05,8,5.2763398963866255,0.522875355378368,223.5424526103411,191.5049371026648
269,7.0,05,9,5.323732283800672,0.5018342108893357,232.03486540550747,201.3333333333333
270,8.0,05,0,6.371063572773738,0.4673877327359773,644.8499615338387,607.5
271,8.0,05,1,6.3783425306819455,0.46148490984705165,647.5957023191087,603.5411842540517
272,8.0,05,2,6.421241364907492,0.44392833653402775,672.1032821203072,631.3457695525908
273,8.0,05,3,6.402744782106336,0.43670282315077225,656.8343140985008,613.5900398584804
274,8.0,05,4,6.424272242540157,0.4175626380782556,669.4354907071286,616.7113237639554
275,8.0,05,5,6.421265402852486,0.4121845251819303,664.3080113861723,619.0961538461538
276,8.0,05,6,6.470611454683061,0.3849501618267875,692.098842011215,658.9823814152438
277,8.0,05,7,6.490586938224676,0.37755932347896765,703.9341921037933,680.0682645250346
278,8.0,05,8,6.439675686744212,0.4018683661912728,677.7107424002919,620.3486602712533
279,8.0,05,9,6.495406905613187,0.3356576325315326,700.4674800945082,653.5406698564597
280,9.0,05,0,7.082870479059363,0.3048269775893662,1248.3093582399567,1145.0097087378642
281,9.0,05,1,7.071396882137007,0.3069984238687791,1234.087943041464,1122.4596774193549
282,9.0,05,2,7.094335740703082,0.3046814382965231,1262.5204424981473,1157.5922330097087
283,9.0,05,3,7.082759745169621,0.3009805762925013,1246.6373752762345,1140.2575757575758
284,9.0,05,4,7.111967186349129,0.3006115058261082,1283.0148563509842,1189.552320828413
285,9.0,05,5,7.0912161043087245,0.2972534021760217,1255.8219631595675,1141.88597079614
286,9.0,05,6,7.090235557140487,0.2922580405930629,1252.387729248699,1145.0097087378642
287,9.0,05,7,7.122071147635501,0.3078074252656799,1299.000037406007,1214.7247706422015
288,9.0,05,8,7.122718720460844,0.2987940067384033,1296.7345176220645,1197.0399084543933
289,9.0,05,9,7.258779568275225,0.3316777496564934,1503.3841582082666,1436.2365355809436
290,10.0,05,0,,,,
291,10.0,05,1,,,,
292,10.0,05,2,,,,
293,10.0,05,3,,,,
294,10.0,05,4,,,,
295,10.0,05,5,,,,
296,10.0,05,6,,,,
297,10.0,05,7,,,,
298,10.0,05,8,,,,
299,10.0,05,9,,,,
300,1.0,11,0,4.114566040378535,1.3104201633858907,335.0570846110645,53.52432290297137
301,1.0,11,1,4.082610524407171,1.2060268539816408,269.97907834050915,54.312298479963154
302,1.0,11,2,4.1310851384318985,1.2775797117487406,322.43494818870596,58.63473053892216
303,1.0,11,3,4.163520437818264,1.2723785139611894,321.4036279951551,60.0
304,1.0,11,4,4.126075518675596,1.28765922539361,344.4408808926226,55.833333333333336
305,1.0,11,5,4.155662111249451,1.3721817888629255,339.05201207099117,60.54568635784105
306,1.0,11,6,4.006201832483909,1.3675658868344753,271.62187377670017,52.146031529029784
307,1.0,11,7,4.04918805688336,1.50082425614941,323.06414134526386,55.58823529411765
308,1.0,11,8,4.036785916876633,1.4350858075520738,249.8682342887847,55.833333333333336
309,1.0,11,9,4.197184628531501,1.2110082410804306,224.261587651703,66.35949711179072
310,2.0,11,0,3.9360165570968504,1.1607150995809454,105.09959773739322,46.5
311,2.0,11,1,3.858333476695553,1.0243543639696935,86.76802996840968,44.59327217125384
312,2.0,11,2,3.9022972985245783,1.1321028078286726,105.76598546056938,40.5970605077305
313,2.0,11,3,3.953665976222944,1.0916634179673066,102.91465711642292,47.25
314,2.0,11,4,3.9498998719848095,1.0470665786929265,103.18107728652812,47.25
315,2.0,11,5,4.038523934212624,1.1307119083521224,120.99773677301297,47.26242440178808
316,2.0,11,6,3.8579176216981916,1.119792989556315,103.35952268695326,37.6875
317,2.0,11,7,3.9096437122011105,1.138378279060508,104.59830970067306,39.085100029859646
318,2.0,11,8,4.004803541448334,1.160870608158532,122.01115684900346,43.400826446280995
319,2.0,11,9,4.0618906131682495,1.2126448636633167,130.8660650328255,47.25
320,3.0,11,0,3.758051488848339,0.9541466797581662,66.01773265998379,34.714285714285715
321,3.0,11,1,3.731590190715598,0.7983662159684798,59.12113968213382,34.395461912479746
322,3.0,11,2,3.768473613686316,0.9365827496597537,65.5493812999403,33.75
323,3.0,11,3,3.7513993468768376,0.9023883409668823,62.7392067377873,34.395461912479746
324,3.0,11,4,3.762978776411326,0.8479361351996485,61.72552700931147,34.395461912479746
325,3.0,11,5,3.795202653049937,0.843994458186635,64.11170690485088,36.3
326,3.0,11,6,3.7509087425267955,0.8314253215237649,60.99100358000972,34.36363636363636
327,3.0,11,7,3.704660456057,0.8508176099672583,60.029208623749014,33.75
328,3.0,11,8,3.8189414972800404,0.8056326375896085,64.33423349785667,36.3
329,3.0,11,9,3.9202171022609718,0.8942174647394768,74.63380749347738,37.8
330,4.0,11,0,3.698326878847776,0.8633769494062953,77.17656997105384,43.19432027346833
331,4.0,11,1,3.7166921968827515,0.8033916575678562,71.32415341596987,46.285714285714285
332,4.0,11,2,3.707086569490137,0.8038414962351506,71.72907256560487,45.0
333,4.0,11,3,3.7362925304218377,0.7167130993562162,65.99113320293498,46.285714285714285
334,4.0,11,4,3.7050304835653365,0.7395933300846184,65.66599825015957,45.0
335,4.0,11,5,3.687216624307217,0.7468497498717785,67.28618265335909,40.5970605077305
336,4.0,11,6,3.7353654996375516,0.774349216092607,73.58787262269928,45.0
337,4.0,11,7,3.718848079983143,0.8002939599226392,74.56335855272285,44.66666666666666
338,4.0,11,8,3.734681637744621,0.7610613909100669,76.17437686149516,44.66666666666666
339,4.0,11,9,3.7518356441621465,0.7889882649787443,72.66554039871376,46.285714285714285
340,5.0,11,0,3.6627637407924913,1.1788036387166065,91.61028981856343,33.5
341,5.0,11,1,3.4849654290664507,1.1072860967030156,74.12433624843688,30.57374392220422
342,5.0,11,2,3.4664910597663203,1.126241127678675,72.06044980515328,28.662884927066457
343,5.0,11,3,3.5493703129317047,1.0913558629138926,76.31025906165588,31.5
344,5.0,11,4,3.5013764049875773,1.1119833857788515,74.22675526643513,31.419773095623995
345,5.0,11,5,3.488797186451205,1.1287426603849,76.78997913211363,29.88593155893536
346,5.0,11,6,3.5068668220757906,1.085869139741353,74.3036017966664,30.836037411719808
347,5.0,11,7,3.468352003355887,1.073260120305231,71.25160604799977,30.755801465183318
348,5.0,11,8,3.549540164815697,1.1382033954943824,81.98197362082078,31.5
349,5.0,11,9,3.6061369945305755,1.0840790399231814,79.47652302821699,33.5
350,6.0,11,0,3.79019703326638,0.807661816150231,62.11183493092538,47.32247125397292
351,6.0,11,1,3.8027678330646304,0.8060818869391995,61.54888908895128,48.774193548387125
352,6.0,11,2,3.8329470997480937,0.8318292207274383,65.25830275162681,50.259028811037496
353,6.0,11,3,3.8511656422223712,0.8228327324357794,65.11419363105225,51.10588235294118
354,6.0,11,4,3.849421642458351,0.8288831385137685,64.82142532742512,50.82471910112362
355,6.0,11,5,3.9317352895509776,0.8395086895378975,70.71056014297658,57.19202292811081
356,6.0,11,6,3.9633157155656322,0.8435482214675492,72.66727943524808,58.66875
357,6.0,11,7,3.9856168309560616,0.8638699952769269,74.09757853751366,60.0
358,6.0,11,8,4.048340718919886,0.880252003165066,80.54626443478351,63.854325532474384
359,6.0,11,9,4.105269218183696,0.9070280674157687,87.3958714416378,68.72727272727272
360,7.0,11,0,4.359947080010609,1.0844628013219382,139.16414375313056,84.0
361,7.0,11,1,4.356519329799496,1.0665857923846653,134.8938243590447,83.56914712878019
362,7.0,11,2,4.319845258232596,1.092653480936324,134.20114026615485,77.81675892345872
363,7.0,11,3,4.3346427496764415,1.0752209615472557,132.01740855832824,81.9
364,7.0,11,4,4.289416316010397,1.1018262084098647,128.7506980115907,75.44459833795014
365,7.0,11,5,4.315791626087106,1.1504605889136168,136.87212337902488,81.0
366,7.0,11,6,4.327038982050505,1.141066873092016,135.59628483856727,81.42648150262613
367,7.0,11,7,4.35396228248882,1.1686807292060555,145.68096288888674,82.2294330979195
