,area_km2,length_km,mean_width,Q_decile,order
133,0.0,0.0,990.8511794651031,8,14
134,0.0,0.0,1577.557656401961,8,15
135,859.9795514482375,1156246.435428423,0.7437683914931076,9,1
136,1129.2097767978896,536309.6604739019,2.1055182481704326,9,2
137,599.7118113696164,275326.46286766697,2.1781844183203782,9,3
138,661.1824921179159,149107.00810025365,4.434281798970596,9,4
139,686.6638542209823,83406.29843713694,8.232757802320153,9,5
140,489.96771847508467,36835.46698129809,13.301520480895451,9,6
141,204.18678686122317,7771.667305042102,26.27322797628649,9,7
142,40.74362778009956,1245.022005183617,32.72522703250586,9,8
143,22.702012089828138,359.15048060643346,63.21030686495335,9,9
144,0.0,0.0,121.42668556422656,9,10
145,0.0,0.0,231.48390437122828,9,11
146,0.0,0.0,319.05036288741974,9,12
147,0.0,0.0,516.1170854648523,9,13
148,0.0,0.0,1005.6259433168082,9,14
149,0.0,0.0,1602.526873071696,9,15
